M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
0.0799998641014099, 99.1706067910418, 26.6841831207275, -0.0972077399492264, -74.5576782226563, 0.000424810925409093, 174.965507048196, 0.000419919889287357, 6.42775927351361E-05, 79.7405634470051, 4.30405494284969E-05, -598435.22354239, 275.822148895202, 0.0972077911331759, 56.7598114013672, 0, 0, 0, N/A, 90, 90, 89.9541371394915, -90, 271.824900282423, 0, 8.42578249619021E-13
1.03999997675419, 102.033811358619, 29.5473957061768, -0.0972078442573547, -74.5576782226563, 6.01572779397163, 175.056216940045, 6.01571252304768, 0.0135547486165424, 84.4696561340243, 0.616600784158265, -598435.436004689, 276.441812597914, 0.0972077944513402, 56.3145179748535, 931.762619018555, 931.662864685059, 1.68620185652467, N/A, 90, 90, 89.9580306327196, -90, 267.97442960008, 16.849008477144, 0.000162123058543536
2.07999995350838, 111.946713325451, 39.4603118896484, -0.0972079038619995, -74.5576858520508, 12.9378730127911, 175.415672701244, 12.9378349417239, 0.031386554732378, 101.114795092843, 1.32616965560936, -598435.651757746, 277.162679592181, 0.0972086242925651, 55.8490409851074, 931.990219116211, 931.984252929688, 1.70061529323816, N/A, 90, 90, 89.956037132042, -90, 268.262280966078, 34.1365926091736, 0.000819285503646557
3.1599999293685, 129.940440280479, 57.4540748596191, -0.0972079187631607, -74.5576858520508, 20.2733060532842, 176.088771509919, 20.2732267991023, 0.056687584975323, 131.604389281594, 2.07825091527229, -598435.91760415, 277.935545453041, 0.0972087412633485, 55.3656578063965, 932.415626525879, 932.406005859375, 1.7163290735294, NoAcc, 88.5613643852088, 88.5613643852088, 89.9582657898007, 90.1944175529911, 271.820977395416, 51.5777072362175, 0.00209291639704723
4.29999990388751, 157.616320917383, 85.1298522949219, -0.0972080230712891, -74.5576705932617, 28.1729729206253, 177.098374830012, 28.1726279010014, 0.139428612573151, 178.911309628747, 2.88841492481851, -598437.111789689, 278.77742178394, 0.0972105973224156, 54.8554267883301, 933.076644897461, 933.063140869141, 1.7336601149574, NoAcc, 85.5805274743775, 85.5805274743775, 89.0369853777802, 90.194420873748, 89.6934339231313, 70.8825215839938, 0.00411126630947706
5.43999987840652, 194.341172218788, 121.85400390625, -0.0972079560160637, -74.5575866699219, 36.2024993230147, 178.967535387509, 36.2014578884574, 0.274597857098151, 242.189468374592, 3.71234365687855, -598429.297347246, 279.650244193787, 0.0972142726606647, 54.3451881408691, 933.957618713379, 933.940185546875, 1.75178186291451, NoAcc, 83.8461773657974, 83.8461773657974, 86.3436652626886, 90.1944343774656, 89.9522150395777, 90.0400645915755, 0.00683812762904354
6.55999985337257, 240.197106723674, 167.708099365234, -0.097208172082901, -74.5573501586914, 44.3420171518082, 182.734488776409, 44.2833173812742, 2.28085220928224, 321.542631632532, 4.54269839386996, -598392.545413141, 280.560455998662, 0.0972113552000748, 53.8349533081055, 935.048011779785, 935.026840209961, 1.77069806099183, NoAcc, 82.3734747515892, 82.3734747515892, 83.0597232048191, 89.8055664473558, 90.0424555729539, 109.743152783546, 0.0102794747497066
7.69999982789159, 294.282631482463, 221.790161132813, -0.0972079038619995, -74.5569152832031, 52.5365769115204, 187.45893295137, 52.2987458592458, 4.99330503075071, 417.293280595331, 5.38214533309349, -598341.316241305, 281.501006682315, 0.0972082733568746, 53.3247184753418, 936.361869812012, 936.336860656738, 1.79045905022532, NoAcc, 81.0246011185409, 81.0246011185409, 81.5301339860788, 90.1944227928901, 89.9467833316668, 129.659841231559, 0.0144831190108838
8.8399998024106, 358.623721007141, 290.958404541016, -0.0972082167863846, -74.5561599731445, 61.1130693614012, 192.853351589913, 60.5805681043646, 8.04996987099142, 527.950148753473, 6.22040735262931, -598284.595939491, 282.454418302271, 0.0972111230867738, 52.8234367370605, 937.89143371582, 937.862655639648, 1.81107572519799, NoAcc, 79.7511579203804, 79.7511579203804, 80.1435788235957, 89.8055828317625, 90.0404348574544, 149.798823101512, 0.0195027898338518
9.97999977692962, 432.42513590632, 364.750640869141, -0.0972080901265144, -74.5550384521484, 69.9099277765317, 199.062748159475, 68.9262978302942, 11.6860373578673, 657.480525685241, 7.08160264608983, -598214.728685037, 283.452813033512, 0.0972213559113447, 52.3132019042969, 939.634506225586, 939.602027893066, 1.83256992661865, NoAcc, 78.5300503946558, 78.5300503946558, 78.6308504201011, 90.1944355952266, 90.0077662142687, 170.169186961328, 0.0253508711096891
11.1199997514486, 515.78003054182, 448.092590332031, -0.0972080007195473, -74.5534973144531, 78.9430113227588, 205.992937424264, 77.3382247498132, 15.8366040947109, 804.334952842677, 7.95133195267857, -598133.244656657, 284.479682967337, 0.0972098245842812, 51.8029670715332, 941.586975097656, 941.550834655762, 1.85496063960346, NoAcc, 77.3480349457121, 77.3480349457121, 77.3229835379457, 90.1944328753727, 89.9770932155058, 190.780017016003, 0.0320552167007644
